LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 34847.0, 338688, 1.0, 34857.0, 338688, 26.0, 34887.0, 426496, -18432.0, -1.0, 150528, -111.0, -1.0, 864, 4832.0, 35335.0, 401439,
1, 1.0, 132591.0, 3484800, 1.0, 132588.0, 109152, 287.0, 132618.0, 36356, -43008.0, -1.0, 401408, -111.0, -1.0, 288, 132649.0, 133027.0, 12100,
2, 1.0, 73665.0, 802816, 1.0, 73665.0, 802816, 31.0, 73695.0, 852992, -43008.0, -1.0, 401408, -221.0, -1.0, 2048, 5107.0, 74591.0, 802847,
3, 1.0, 62300.0, 1806336, 1.0, 62462.0, 56448, 575.0, 62492.0, 9408, -86016.0, -1.0, 802816, -111.0, -1.0, 576, 62523.0, 62620.0, 3136,
4, 1.0, 49361.0, 802816, 1.0, 49361.0, 802816, 63.0, 49391.0, 426496, -24576.0, -1.0, 200704, -884.0, -1.0, 8192, 6867.0, 49839.0, 401439,
5, 1.0, 111629.0, 3359232, 1.0, 111626.0, 105984, 1151.0, 111656.0, 8804, -43008.0, -1.0, 401408, -221.0, -1.0, 1152, 111687.0, 111778.0, 2916,
6, 1.0, 74449.0, 1605632, 1.0, 74449.0, 1605632, 127.0, 74479.0, 426496, -43008.0, -1.0, 401408, -1658.0, -1.0, 16384, 10387.0, 74927.0, 401439,
7, 1.0, 29918.0, 903168, 1.0, 30288.0, 28800, 1151.0, 30318.0, 2384, -43008.0, -1.0, 401408, -221.0, -1.0, 1152, 30349.0, 30373.0, 784,
8, 1.0, 37953.0, 802816, 1.0, 37969.0, 819200, 127.0, 37999.0, 213504, -12288.0, -1.0, 100352, -3315.0, -1.0, 32768, 10577.0, 39087.0, 200735,
9, 1.0, 51993.0, 1557504, 1.0, 51990.0, 50688, 2303.0, 52020.0, 2084, -24576.0, -1.0, 200704, -332.0, -1.0, 2304, 52051.0, 52072.0, 676,
10, 1.0, 63553.0, 1605632, 1.0, 63569.0, 1638400, 255.0, 63599.0, 213504, -24576.0, -1.0, 200704, -5525.0, 47907.0, 71634, 17745.0, 64687.0, 200735,
11, 1.0, 15734.0, 451584, 1.0, 16500.0, 16128, 2303.0, 16530.0, 644, -24576.0, -1.0, 200704, -332.0, -1.0, 2304, 16561.0, 16567.0, 196,
12, 1.0, 35557.0, 802816, 1.0, 35585.0, 917504, 255.0, 35615.0, 107520, -6144.0, -1.0, 50176, -5525.0, 26919.0, 143268, 19653.0, 37023.0, 100383,
13, 1.0, 23303.0, 663552, 1.0, 23288.0, 23040, 4607.0, 23318.0, 464, -12288.0, -1.0, 100352, -553.0, -1.0, 4608, 23349.0, 23353.0, 144,
14, 1.0, 64229.0, 1605632, 1.0, 64257.0, 1835008, 511.0, 64287.0, 107520, -12288.0, -1.0, 100352, -5525.0, 60477.0, 292634, 35525.0, 65695.0, 100383,
15, 1.0, 23303.0, 663552, 1.0, 23288.0, 23040, 4607.0, 23318.0, 464, -12288.0, -1.0, 100352, -553.0, -1.0, 4608, 23349.0, 23353.0, 144,
16, 1.0, 64229.0, 1605632, 1.0, 64257.0, 1835008, 511.0, 64287.0, 107520, -12288.0, -1.0, 100352, -5525.0, 60477.0, 292634, 35525.0, 65695.0, 100383,
17, 1.0, 23303.0, 663552, 1.0, 23288.0, 23040, 4607.0, 23318.0, 464, -12288.0, -1.0, 100352, -553.0, -1.0, 4608, 23349.0, 23353.0, 144,
18, 1.0, 64229.0, 1605632, 1.0, 64257.0, 1835008, 511.0, 64287.0, 107520, -12288.0, -1.0, 100352, -5525.0, 60477.0, 292634, 35525.0, 65695.0, 100383,
19, 1.0, 23303.0, 663552, 1.0, 23288.0, 23040, 4607.0, 23318.0, 464, -12288.0, -1.0, 100352, -553.0, -1.0, 4608, 23349.0, 23353.0, 144,
20, 1.0, 64229.0, 1605632, 1.0, 64257.0, 1835008, 511.0, 64287.0, 107520, -12288.0, -1.0, 100352, -5525.0, 60477.0, 292634, 35525.0, 65695.0, 100383,
21, 1.0, 23303.0, 663552, 1.0, 23288.0, 23040, 4607.0, 23318.0, 464, -12288.0, -1.0, 100352, -553.0, -1.0, 4608, 23349.0, 23353.0, 144,
22, 1.0, 64229.0, 1605632, 1.0, 64257.0, 1835008, 511.0, 64287.0, 107520, -12288.0, -1.0, 100352, -5525.0, 60477.0, 292634, 35525.0, 65695.0, 100383,
23, 1.0, 9286.0, 225792, 1.0, 9278.0, 9216, 4607.0, 9308.0, 177, -12288.0, -1.0, 100352, -553.0, -1.0, 4608, 9339.0, 9340.0, 49,
24, 1.0, 36690.0, 802816, 1.0, 36705.0, 1048576, 511.0, 36735.0, 54272, -6144.0, -1.0, 25088, -5525.0, 34647.0, 585268, 36735.0, 38302.0, 50176,
25, 1.0, 9224.0, 82944, 1.0, 9216.0, 9216, 9238.0, 9246.0, 73, -6144.0, -1.0, 50176, -995.0, -1.0, 9216, 9277.0, 9277.0, 9,
26, 1.0, 69458.0, 1605632, 1.0, 69473.0, 2097152, 1023.0, 69503.0, 54272, -6144.0, -1.0, 50176, -5525.0, 68051.0, 1745518, 69503.0, 71070.0, 50176,
